Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
00:00.0,13717,13900,13510,13740.01,1455.46989,00:00.0,19984985.81,13618,713.574064,9805443.262,0
00:00.0,13749.95,14250,13706.15,14066,2933.250737,00:00.0,41146996.1,23746,1338.342109,18759110.09,0
00:00.0,14065.99,14320,13948.41,14255.09,2020.969985,00:00.0,28510758.85,19396,859.721573,12126374.34,0
00:00.0,14250,14254,13974.94,14178,1680.679532,00:00.0,23746012.67,18655,806.340362,11396576.88,0
00:00.0,14166,14580,14083.55,14241.26,2567.923612,00:00.0,36805582.06,26247,1207.368764,17314488.73,0
00:00.0,14257.84,14357,13923.18,14089.34,1948.456534,00:00.0,27695774.66,21755,928.258413,13198877.6,0
00:00.0,14086.64,14348.19,14022,14210,1070.228128,00:00.0,15181364.2,13840,434.147187,6162671.302,0
00:00.0,14210,14339.5,14088.55,14162,1083.623176,00:00.0,15402103.3,12723,513.847249,7306513.314,0
00:00.0,14165,14200,13359.07,13590,2682.717948,00:00.0,36815507.48,26577,1315.046694,18058959.71,0
00:00.0,13590,13720,13120,13280.15,2964.083149,00:00.0,39724840.98,25073,1458.303159,19545021.19,0
00:00.0,13280.16,13426.45,12569.2,12869.89,6253.565164,00:00.0,81257749.94,46102,2987.516989,38842096.79,0
00:00.0,12869.82,13450,12690.01,13109,2321.420216,00:00.0,30448265.76,22822,1200.142272,15756869.01,0
00:00.0,13130.52,13600.8,13100,13474.99,1712.484676,00:00.0,22876837.66,19067,813.526548,10872096.66,0
00:00.0,13477.98,13733.52,13215.56,13368.43,2125.162132,00:00.0,28615038.99,22097,988.557516,13306251.72,0
00:00.0,13367,13736.4,13251,13355,1952.400232,00:00.0,26436379.17,19449,968.533797,13121537.52,0
00:00.0,13346.34,13740.27,13147.79,13644.9,3087.358567,00:00.0,41645243.52,27878,1743.659012,23533634.7,0
00:00.0,13645,14249.99,13520.17,13990.01,3698.877325,00:00.0,51777282.57,33669,1956.569157,27377916.04,0
00:00.0,13990.01,14100,13655.21,13760,1868.799947,00:00.0,25935187.01,21770,803.329616,11154903.48,0
00:00.0,13774.97,13841.75,13340.64,13539.93,1919.496502,00:00.0,26205423.28,20499,970.414174,13254072.18,0
00:00.0,13500,13542.93,12501,12828.99,7118.016627,00:00.0,92271559.66,45878,3491.770205,45351976.49,0
00:00.0,12829.98,13169,12222,12347.32,3386.526008,00:00.0,43426175.08,24918,1445.938182,18564963.67,0
00:00.0,12340,12488,10620.88,12127.16,17380.2611,00:00.0,202053631,105071,8545.249836,99535442.03,0
00:00.0,12140,12200,11000,11964.02,8099.861147,00:00.0,94363282.55,60067,4124.198874,48080564.04,0
00:00.0,11963.9,11988.47,10575.35,11064.52,8288.472559,00:00.0,92490836.81,61725,4054.583685,45264069.52,0
00:00.0,11082.12,11439,9035,10900,19128.03174,00:00.0,197545343.1,120584,8691.660935,89980054.18,0
00:00.0,10899.99,11488.88,9777,10415.99,12871.83497,00:00.0,136885934.2,86774,6354.349059,67678985.46,0
00:00.0,10415.99,11111,9950.55,10765.01,8250.154649,00:00.0,87422585.04,61066,4030.113535,42660031.8,0
00:00.0,10777.93,10799.78,9587.99,9808.14,9702.344149,00:00.0,98384289.04,68354,4478.815764,45441577.81,0
00:00.0,9850.76,10333.01,9037.94,9227.47,14020.73653,00:00.0,133522798.8,92777,6655.219433,63615695.3,0
00:00.0,9227.46,10600.83,9150.01,10390,11753.76867,00:00.0,116208029.8,87419,5988.70451,59247522.77,0
00:00.0,10366,11680.99,10181.89,10988.79,15732.95768,00:00.0,171730543.3,120903,7905.595836,86403478.3,0
00:00.0,10972.59,11600,10650,10955.45,9452.007406,00:00.0,105800696.7,75490,4803.975052,53820523.33,0
00:00.0,10950.01,11325.06,10435.33,10472.97,8196.573674,00:00.0,88533543.36,65975,3994.226869,43197536.77,0
